ENCFF964ACB	ENCFF055WUU	ENCFF689TGX	ENCFF486RUF	K562	SBDS
ENCFF535DJP	ENCFF427XIT	ENCFF566IXO	ENCFF394YXV	HepG2	DAZAP1
ENCFF115ESX	ENCFF324FKU	ENCFF109UAW	ENCFF827AVO	K562	HSPD1
ENCFF267FIW	ENCFF011DNO	ENCFF221UUT	ENCFF713YLH	K562	MBNL1
ENCFF187ZFL	ENCFF875KOM	ENCFF572NPL	ENCFF689YCR	HepG2	DDX28
ENCFF165QCF	ENCFF723KNZ	ENCFF678FMA	ENCFF965KEL	K562	CPSF7
ENCFF541ADT	ENCFF241FYW	ENCFF261BLR	ENCFF966QBV	HepG2	RBM27
ENCFF222GHR	ENCFF723CBA	ENCFF345DRD	ENCFF171TGT	K562	NOL12
ENCFF719TWR	ENCFF270FIC	ENCFF989TXQ	ENCFF558ZFO	HepG2	CIRBP
ENCFF095LCW	ENCFF361QBB	ENCFF221UUT	ENCFF713YLH	K562	ATP5C1
ENCFF175FUM	ENCFF180LMY	ENCFF662KLY	ENCFF356UJZ	K562	XRCC6
ENCFF521QBU	ENCFF868JUI	ENCFF951AKS	ENCFF058RBW	K562	SND1
ENCFF738RJJ	ENCFF551BGC	ENCFF951AKS	ENCFF058RBW	K562	SLTM
ENCFF867UDD	ENCFF734UFY	ENCFF261BLR	ENCFF966QBV	HepG2	CCAR2
ENCFF359GYZ	ENCFF471QSO	ENCFF093UUE	ENCFF870WUB	HepG2	HSPD1
ENCFF478YOR	ENCFF948KIM	ENCFF907AVE	ENCFF006QUW	K562	KRR1
ENCFF174VSW	ENCFF392GPF	ENCFF812XUV	ENCFF201SIR	K562	G3BP2
ENCFF243KYH	ENCFF632FEO	ENCFF055IEE	ENCFF823LBA	K562	UPF1
ENCFF649WUT	ENCFF624WCC	ENCFF451VCI	ENCFF957JFM	K562	ASCC1
ENCFF124CQK	ENCFF226JJS	ENCFF812XUV	ENCFF201SIR	K562	QKI
ENCFF830FCO	ENCFF863FIM	ENCFF678FMA	ENCFF965KEL	K562	EIF3A
ENCFF972TOM	ENCFF559DCV	ENCFF109UAW	ENCFF827AVO	K562	BUD13
ENCFF989WTK	ENCFF450IAK	ENCFF951AKS	ENCFF058RBW	K562	AGO1
ENCFF176YUC	ENCFF605MVJ	ENCFF678FMA	ENCFF965KEL	K562	ILF3
ENCFF348ABY	ENCFF855TVS	ENCFF566XUG	ENCFF486GXG	HepG2	CKAP4
ENCFF977IXL	ENCFF202TGW	ENCFF168UDP	ENCFF321ZFN	HepG2	UTP18
ENCFF784QPD	ENCFF711NKA	ENCFF869IKC	ENCFF996UTY	HepG2	CNOT7
ENCFF647DVY	ENCFF105XIV	ENCFF742NXL	ENCFF340UAV	HepG2	SSB
ENCFF278CGE	ENCFF219XYA	ENCFF221UUT	ENCFF713YLH	K562	DDX19B
ENCFF179AAM	ENCFF387ASY	ENCFF236XCF	ENCFF901WHO	HepG2	SUPT6H
ENCFF234KME	ENCFF268PZN	ENCFF662KLY	ENCFF356UJZ	K562	CSTF2T
ENCFF727ATR	ENCFF317YKN	ENCFF566XUG	ENCFF486GXG	HepG2	PUS1
ENCFF327HAD	ENCFF805KIS	ENCFF057JNE	ENCFF294SKR	HepG2	DDX24
ENCFF526EKZ	ENCFF641IIS	ENCFF310XPL	ENCFF301VBU	K562	TRIM56
ENCFF877TMK	ENCFF339IHF	ENCFF250NQT	ENCFF072REC	K562	IGF2BP3
ENCFF048SVW	ENCFF507VIL	ENCFF678FMA	ENCFF965KEL	K562	YBX3
ENCFF622IHD	ENCFF052RJW	ENCFF678FMA	ENCFF965KEL	K562	PARN
ENCFF292RTX	ENCFF516UIQ	ENCFF784SML	ENCFF487UNM	HepG2	HNRNPU
ENCFF359RCT	ENCFF816AOJ	ENCFF784SML	ENCFF487UNM	HepG2	TRIM56
ENCFF142UXQ	ENCFF429TWH	ENCFF360OFU	ENCFF269IZJ	K562	PA2G4
ENCFF065EST	ENCFF704VQW	ENCFF812XUV	ENCFF201SIR	K562	RECQL
ENCFF022GNJ	ENCFF430RBN	ENCFF566XUG	ENCFF486GXG	HepG2	DDX19B
ENCFF871KUU	ENCFF965RPX	ENCFF360OFU	ENCFF269IZJ	K562	SRP68
ENCFF400ARN	ENCFF002YLP	ENCFF989TXQ	ENCFF558ZFO	HepG2	EIF4B
ENCFF023KBS	ENCFF737IEW	ENCFF572NPL	ENCFF689YCR	HepG2	UPF2
ENCFF138JQO	ENCFF340ZEG	ENCFF310XPL	ENCFF301VBU	K562	PHF6
ENCFF829EPJ	ENCFF436IYL	ENCFF951AKS	ENCFF058RBW	K562	FUS
ENCFF030OLZ	ENCFF369NEZ	ENCFF742NXL	ENCFF340UAV	HepG2	RBM22
ENCFF354FHT	ENCFF819VYL	ENCFF261RLR	ENCFF834TYC	HepG2	QKI
ENCFF668TYJ	ENCFF450FFU	ENCFF055IEE	ENCFF823LBA	K562	WDR3
ENCFF146CHN	ENCFF920LNP	ENCFF678FMA	ENCFF965KEL	K562	RBFOX2
ENCFF527DFW	ENCFF825OSD	ENCFF451VCI	ENCFF957JFM	K562	AKAP1
ENCFF799ITP	ENCFF605UTR	ENCFF055IEE	ENCFF823LBA	K562	WDR43
ENCFF352HEO	ENCFF049WEE	ENCFF812XUV	ENCFF201SIR	K562	U2AF1
ENCFF801BRP	ENCFF642WPV	ENCFF869IKC	ENCFF996UTY	HepG2	SBDS
ENCFF424VAD	ENCFF867IZU	ENCFF678FMA	ENCFF965KEL	K562	DHX30
ENCFF838WJE	ENCFF986JGI	ENCFF721YDQ	ENCFF471LQQ	K562	NPM1
ENCFF450HWR	ENCFF789QEA	ENCFF572NPL	ENCFF689YCR	HepG2	XRN2
ENCFF840CJZ	ENCFF651DBC	ENCFF869IKC	ENCFF996UTY	HepG2	HNRNPAB
ENCFF182PZY	ENCFF594GKW	ENCFF236XCF	ENCFF901WHO	HepG2	NAA15
ENCFF342FMY	ENCFF982FDC	ENCFF451VCI	ENCFF957JFM	K562	NCBP2
ENCFF257FLU	ENCFF441IBI	ENCFF345DRD	ENCFF171TGT	K562	UBE2L3
ENCFF150WUU	ENCFF886MQA	ENCFF784SML	ENCFF487UNM	HepG2	ILF2
ENCFF163IXV	ENCFF172LGC	ENCFF236XCF	ENCFF901WHO	HepG2	U2AF1
ENCFF066SSG	ENCFF662JYI	ENCFF451VCI	ENCFF957JFM	K562	FUBP3
ENCFF923LZN	ENCFF677KRY	ENCFF168UDP	ENCFF321ZFN	HepG2	SF3A3
ENCFF754ESC	ENCFF365PLL	ENCFF738YFT	ENCFF293RIK	HepG2	SRSF3
ENCFF352WSU	ENCFF201LBK	ENCFF310XPL	ENCFF301VBU	K562	FKBP4
ENCFF944UDR	ENCFF526PAV	ENCFF236XCF	ENCFF901WHO	HepG2	BUD13
ENCFF112VHC	ENCFF885HMK	ENCFF907AVE	ENCFF006QUW	K562	CPSF6
ENCFF998JKT	ENCFF168QYA	ENCFF784SML	ENCFF487UNM	HepG2	DNAJC21
ENCFF993AIW	ENCFF442JOE	ENCFF686VNL	ENCFF430GWF	HepG2	RBM17
ENCFF430ISK	ENCFF355EHE	ENCFF221UUT	ENCFF713YLH	K562	RBM15
ENCFF946IIV	ENCFF796TJR	ENCFF678FMA	ENCFF965KEL	K562	CCAR1
ENCFF487JHR	ENCFF161KIE	ENCFF357IOR	ENCFF239JNY	HepG2	DDX47
ENCFF408FIB	ENCFF098ONQ	ENCFF738YFT	ENCFF293RIK	HepG2	FTO
ENCFF469IRJ	ENCFF588DQR	ENCFF310XPL	ENCFF301VBU	K562	HNRNPF
ENCFF472WGE	ENCFF157DNT	ENCFF971OQY	ENCFF824KJT	K562	AUH
ENCFF633KQS	ENCFF946XFO	ENCFF360OFU	ENCFF269IZJ	K562	GEMIN5
ENCFF802XVR	ENCFF687USH	ENCFF360OFU	ENCFF269IZJ	K562	NONO
ENCFF755KEU	ENCFF152IUL	ENCFF662KLY	ENCFF356UJZ	K562	SMNDC1
ENCFF447RFE	ENCFF326XLG	ENCFF742NXL	ENCFF340UAV	HepG2	AUH
ENCFF580UQE	ENCFF664HRD	ENCFF951AKS	ENCFF058RBW	K562	RPS3
ENCFF086XHX	ENCFF993BRZ	ENCFF190UJU	ENCFF531IMH	K562	BCLAF1
ENCFF632EIZ	ENCFF423ESU	ENCFF721YDQ	ENCFF471LQQ	K562	PABPN1
ENCFF173IMV	ENCFF814EUR	ENCFF093UUE	ENCFF870WUB	HepG2	SSRP1
ENCFF022GVT	ENCFF416BYL	ENCFF566IXO	ENCFF394YXV	HepG2	UBE2L3
ENCFF283ZEU	ENCFF510KSY	ENCFF057JNE	ENCFF294SKR	HepG2	AATF
ENCFF911EJE	ENCFF821FZB	ENCFF686VNL	ENCFF430GWF	HepG2	U2AF2
ENCFF098NLK	ENCFF635XIV	ENCFF971OQY	ENCFF824KJT	K562	ZC3H8
ENCFF593CFB	ENCFF273JPU	ENCFF784SML	ENCFF487UNM	HepG2	TIAL1
ENCFF260LWA	ENCFF054AOA	ENCFF721YDQ	ENCFF471LQQ	K562	XPO5
ENCFF168UCM	ENCFF557BRC	ENCFF055IEE	ENCFF823LBA	K562	SF3A3
ENCFF359BAT	ENCFF560RJQ	ENCFF989TXQ	ENCFF558ZFO	HepG2	PABPC4
ENCFF066VPP	ENCFF261DTU	ENCFF021BCS	ENCFF762FFH	HepG2	NUP35
ENCFF328WOU	ENCFF709PZI	ENCFF566IXO	ENCFF394YXV	HepG2	TUFM
ENCFF495CHO	ENCFF871XKQ	ENCFF250NQT	ENCFF072REC	K562	SRSF7
ENCFF005NNX	ENCFF778BWF	ENCFF572NPL	ENCFF689YCR	HepG2	RRP9
ENCFF832THG	ENCFF477MYS	ENCFF574DLW	ENCFF847SRU	HepG2	EEF2
ENCFF817RTM	ENCFF534YDS	ENCFF989TXQ	ENCFF558ZFO	HepG2	IGF2BP2
ENCFF878AAZ	ENCFF587FCY	ENCFF572NPL	ENCFF689YCR	HepG2	BCLAF1
ENCFF026VLT	ENCFF332RXE	ENCFF057JNE	ENCFF294SKR	HepG2	DDX21
ENCFF707VTW	ENCFF366TRL	ENCFF574DLW	ENCFF847SRU	HepG2	RPS19
ENCFF966FYM	ENCFF111KOR	ENCFF738YFT	ENCFF293RIK	HepG2	HNRNPLL
ENCFF644NDS	ENCFF132LJM	ENCFF360OFU	ENCFF269IZJ	K562	FAM120A
ENCFF780SYO	ENCFF246QJB	ENCFF989TXQ	ENCFF558ZFO	HepG2	MATR3
ENCFF649ZDD	ENCFF089UIK	ENCFF221UUT	ENCFF713YLH	K562	DKC1
ENCFF296FTT	ENCFF036XRE	ENCFF784SML	ENCFF487UNM	HepG2	YBX3
ENCFF333LCM	ENCFF964PAH	ENCFF566XUG	ENCFF486GXG	HepG2	PES1
ENCFF756IDB	ENCFF563CZX	ENCFF566IXO	ENCFF394YXV	HepG2	EIF4G1
ENCFF061HCZ	ENCFF223XQE	ENCFF109UAW	ENCFF827AVO	K562	FIP1L1
ENCFF493XEK	ENCFF974YWT	ENCFF566XUG	ENCFF486GXG	HepG2	ACO1
ENCFF294MHK	ENCFF100KDW	ENCFF093UUE	ENCFF870WUB	HepG2	NKRF
ENCFF180HSG	ENCFF332KZT	ENCFF221UUT	ENCFF713YLH	K562	MAK16
ENCFF846YSQ	ENCFF776IMC	ENCFF168UDP	ENCFF321ZFN	HepG2	ZNF622
ENCFF636XLW	ENCFF956LAK	ENCFF566IXO	ENCFF394YXV	HepG2	SLBP
ENCFF522TER	ENCFF011PVW	ENCFF055IEE	ENCFF823LBA	K562	SRPK2
ENCFF813ICC	ENCFF936ZPB	ENCFF250NQT	ENCFF072REC	K562	PTBP1
ENCFF759ZRY	ENCFF835ZPC	ENCFF738YFT	ENCFF293RIK	HepG2	TARDBP
ENCFF174EQN	ENCFF074WVB	ENCFF310XPL	ENCFF301VBU	K562	GRWD1
ENCFF808LWD	ENCFF519LDN	ENCFF250NQT	ENCFF072REC	K562	HNRNPK
ENCFF592LLE	ENCFF381JEG	ENCFF109UAW	ENCFF827AVO	K562	PPIG
ENCFF471JFC	ENCFF273URB	ENCFF721YDQ	ENCFF471LQQ	K562	SUPT6H
ENCFF398AQF	ENCFF084OLA	ENCFF566XUG	ENCFF486GXG	HepG2	EWSR1
ENCFF888QAR	ENCFF018TKU	ENCFF057JNE	ENCFF294SKR	HepG2	AGO1
ENCFF919WXC	ENCFF978EBP	ENCFF721YDQ	ENCFF471LQQ	K562	SFPQ
ENCFF497UDR	ENCFF576VLK	ENCFF093UUE	ENCFF870WUB	HepG2	KRR1
ENCFF644HYW	ENCFF227XAW	ENCFF250NQT	ENCFF072REC	K562	PCBP1
ENCFF308QLD	ENCFF912PRH	ENCFF451VCI	ENCFF957JFM	K562	EIF2S1
ENCFF359DJN	ENCFF809IPD	ENCFF572NPL	ENCFF689YCR	HepG2	AARS
ENCFF860MGG	ENCFF637HWL	ENCFF689TGX	ENCFF486RUF	K562	HNRNPA0
ENCFF120YNR	ENCFF365TMN	ENCFF907AVE	ENCFF006QUW	K562	FMR1
ENCFF085VCF	ENCFF805KGC	ENCFF689TGX	ENCFF486RUF	K562	PPIL4
ENCFF555CUG	ENCFF740WQM	ENCFF345DRD	ENCFF171TGT	K562	PUF60
ENCFF880KHR	ENCFF088VIN	ENCFF250NQT	ENCFF072REC	K562	RBM34
ENCFF817BSA	ENCFF935IWT	ENCFF360OFU	ENCFF269IZJ	K562	DDX52
ENCFF907ZKI	ENCFF795LDC	ENCFF250NQT	ENCFF072REC	K562	KHSRP
ENCFF259FEK	ENCFF750UGV	ENCFF721YDQ	ENCFF471LQQ	K562	SF1
ENCFF638CZN	ENCFF621OWD	ENCFF840VCF	ENCFF306VXJ	K562	HNRNPL
ENCFF085YWZ	ENCFF813CJQ	ENCFF572NPL	ENCFF689YCR	HepG2	BCCIP
ENCFF609EEV	ENCFF867UWM	ENCFF261RLR	ENCFF834TYC	HepG2	RECQL
ENCFF683CRU	ENCFF319TPH	ENCFF572NPL	ENCFF689YCR	HepG2	TFIP11
ENCFF646BUZ	ENCFF531JNY	ENCFF678FMA	ENCFF965KEL	K562	DNAJC2
ENCFF678VOG	ENCFF293OGK	ENCFF451VCI	ENCFF957JFM	K562	FXR2
ENCFF306PZW	ENCFF152DFW	ENCFF686VNL	ENCFF430GWF	HepG2	NUFIP2
ENCFF634FHL	ENCFF580AHO	ENCFF190UJU	ENCFF531IMH	K562	DDX27
ENCFF221ICX	ENCFF359NWF	ENCFF236XCF	ENCFF901WHO	HepG2	CPSF7
ENCFF793ZQF	ENCFF613CSR	ENCFF057JNE	ENCFF294SKR	HepG2	EXOSC9
ENCFF754SUW	ENCFF664KDY	ENCFF261RLR	ENCFF834TYC	HepG2	SRSF9
ENCFF228NAK	ENCFF802SDT	ENCFF738YFT	ENCFF293RIK	HepG2	DDX59
ENCFF385ZPU	ENCFF505JCB	ENCFF310XPL	ENCFF301VBU	K562	LIN28B
ENCFF276WQL	ENCFF057WEZ	ENCFF278EWB	ENCFF376SXK	HepG2	RBM15
ENCFF893IIY	ENCFF447ZJC	ENCFF310XPL	ENCFF301VBU	K562	AARS
ENCFF570NQL	ENCFF676KGP	ENCFF345DRD	ENCFF171TGT	K562	TUFM
ENCFF857NBH	ENCFF089WOL	ENCFF345DRD	ENCFF171TGT	K562	CELF1
ENCFF529FHU	ENCFF190CEG	ENCFF190UJU	ENCFF531IMH	K562	BCCIP
ENCFF781YOL	ENCFF072TOC	ENCFF951AKS	ENCFF058RBW	K562	FASTKD2
ENCFF518EYV	ENCFF322NIO	ENCFF261RLR	ENCFF834TYC	HepG2	RBM25
ENCFF512RCL	ENCFF375JLH	ENCFF236XCF	ENCFF901WHO	HepG2	ABCF1
ENCFF396JWN	ENCFF601QIC	ENCFF310XPL	ENCFF301VBU	K562	PSIP1
ENCFF669KZU	ENCFF862NET	ENCFF812XUV	ENCFF201SIR	K562	TAF15
ENCFF775UPA	ENCFF722UNY	ENCFF221UUT	ENCFF713YLH	K562	PUS1
ENCFF374SOY	ENCFF585WPZ	ENCFF093UUE	ENCFF870WUB	HepG2	PPIG
ENCFF039BLK	ENCFF149WKD	ENCFF574DLW	ENCFF847SRU	HepG2	EFTUD2
ENCFF870DWP	ENCFF787GCZ	ENCFF261BLR	ENCFF966QBV	HepG2	LARP7
ENCFF392SMI	ENCFF465UCM	ENCFF971OQY	ENCFF824KJT	K562	AQR
ENCFF362VKF	ENCFF382SWC	ENCFF721YDQ	ENCFF471LQQ	K562	DROSHA
ENCFF275QEO	ENCFF597IYH	ENCFF250NQT	ENCFF072REC	K562	IGF2BP1
ENCFF322GMR	ENCFF269GWO	ENCFF738YFT	ENCFF293RIK	HepG2	NSUN2
ENCFF504BUN	ENCFF287RFQ	ENCFF055IEE	ENCFF823LBA	K562	MTPAP
ENCFF614AMY	ENCFF476PZV	ENCFF310XPL	ENCFF301VBU	K562	HNRNPC
ENCFF745GYC	ENCFF456MAS	ENCFF566XUG	ENCFF486GXG	HepG2	HDGF
ENCFF186MWG	ENCFF305IBD	ENCFF738YFT	ENCFF293RIK	HepG2	SNRNP70
ENCFF463AMS	ENCFF174ZQQ	ENCFF261RLR	ENCFF834TYC	HepG2	PCBP1
ENCFF572OTL	ENCFF196CGJ	ENCFF989TXQ	ENCFF558ZFO	HepG2	DDX3X
ENCFF982ALW	ENCFF257YRE	ENCFF572NPL	ENCFF689YCR	HepG2	FKBP4
ENCFF806ZKL	ENCFF466PAF	ENCFF566IXO	ENCFF394YXV	HepG2	NOL12
ENCFF586WHY	ENCFF772YRQ	ENCFF686VNL	ENCFF430GWF	HepG2	SF1
ENCFF966TUI	ENCFF902KNB	ENCFF572NPL	ENCFF689YCR	HepG2	NONO
ENCFF937YLH	ENCFF064JDU	ENCFF566IXO	ENCFF394YXV	HepG2	PUF60
ENCFF433QJL	ENCFF295DHT	ENCFF250NQT	ENCFF072REC	K562	PCBP2
ENCFF249PUC	ENCFF474EDD	ENCFF574DLW	ENCFF847SRU	HepG2	PKM
ENCFF835QMS	ENCFF137CTC	ENCFF360OFU	ENCFF269IZJ	K562	EIF3D
ENCFF085OET	ENCFF830SPJ	ENCFF869IKC	ENCFF996UTY	HepG2	HNRNPD
